Year,Month,Code,Name,Unit,Finished,Substance_1,Substance_2,Complex,QC,Supporting
21,3,300009,Sartofluor GA 10',EA,,1,5,,1,
21,3,300010,Sartofluor GA 20',EA,,,,,,
21,3,300011,Sartofluor Mini,EA,,8,,,,
21,3,302000,수산화나트륨(퀴놀론1KG),kg,,,,11,,
21,3,LMSM00007C,수산화나트륨 자가 (1kg),kg,,,,,,
21,3,302060,AGP Solution Kit,EA,,,11,,,
21,3,302101,5mL PC Validation Vial,EA,,,,,,
21,3,302102,Autoclave Indicator. Sigmaware,EA,,1,,,,
21,3,302103,Hi Temperature Indicator(Shamrock)(건열),EA,,,,,,
21,3,302104,Chemical Indicator 1250 (3M),EA,4,,,,,
21,3,302109,락스 (럭키),EA,,1,5,,,
21,3,302122,염화나트륨(수지 재생용) 자가,kg,,,,,,
21,3,302123,펌프 튜빙(Masterflex L/S 16),EA,,,,,,
21,3,302124,펌프 튜빙(Masterflex L/S 17),EA,,,,,,
21,3,302125,펌프 튜빙(Masterflex L/S 18),EA,,,,,,
21,3,302126,펌프 튜빙(Masterflex L/S 24),EA,,,1,,,
21,3,302127,펌프 튜빙(Masterflex I/P 73),EA,,,,,,
21,3,302128,펌프 튜빙(Masterflex I/P 82),EA,,,,,,
21,3,302143,Endotoxin Indicator(Endosafe) 자가,EA,,,,,3,
21,3,302161,Durapore 필터(SCGVU11RE),EA,,6,,,,
21,3,302170,아세톤 자가,mL ,,,6000,,,
21,3,302171,Optiseal 필터(LAGR04TP6),EA,,,,,,
21,3,302210,펌프 튜빙(NALGENE 8060-0200),EA,1,,,,,
21,3,302212,펌프 튜빙(NALGENE 8060-0100),EA,3,,,,,
21,3,302213,펌프 튜빙(NALGENE 8060-0060),EA,,,,,,
21,3,302214,펌프 튜빙(NALGENE 8060-0040),EA,,,,,,
21,3,302250,필터 (PUY2UY300H),EA,,,,,,
21,3,302251,필터 (PUY2UY100H),EA,,,,,,
21,3,302256,필터 (PUY1UY400J),EA,,,,,,
21,3,302259,필터 (AB1PFA7PVH4),EA,,,,,,
21,3,302260,필터 (AB3NFZ7PH4),EA,,,,,,
21,3,302341,펌프 튜빙(Masterflex L/S 25),EA,,1,,,,
21,3,302450,필터(SLK7002PFRP)(스팀필터),EA,1,,,,,
21,3,302451,필터(MCY4463PFRPVH4)(N2 필터),EA,1,,,,,
21,3,302452,필터(AB1CPFR7PVH4)(DIP 필터),EA,3,,,,,
21,3,302453,필터(CTGB71TP3)(스팀필터),EA,,,,,,
21,3,302481,구연산무수(99.5%이상),kg,,,,,,
21,3,302520,PFA Tubing(EW-06371-04),EA,,,,,,
21,3,302521,PFA Tubing(RZ-06375-02),EA,,,,,,
21,3,302530,Opticap XL4 Capsule Filter(KTGRA04TT3),EA,,,,,,
21,3,302572,Millex-FG Filter(MTGR85000),EA,,,,,,
21,3,302573,C-Flex Tubing(072-313-3),EA,,,,,,
21,3,302620,CTGR75S01 Millipore Filter,EA,,,,,,
21,3,302621,KVGB04TC3 Milliporre Filter,EA,,,,,,
21,3,302622,CTGB72TP3 Millipore Filter,EA,,,,,,
21,3,302623,AB05PFR7PVH4 Pall Filter,EA,,,,,,
21,3,302690,액체 세제 (액츠 무진복 세탁용),EA,,5,,,,
21,3,302774,Aervent 20' Cartridge Filter CTGR72TP1,EA,,,,,,
21,3,302780,H2O2 for HPV,EA,,,,,,
