Date,Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2022-07-19,pm 12:22:00,122.48,122.49,122.48,122.49,122.5,122.49,122.12,122.5,122.48,122.48,122.48,122.48,122.49,122.5,122.49,122.51,122.5
2022-07-19,pm 12:22:10,122.56,122.59,122.56,122.57,122.57,122.59,122.38,122.6,122.56,122.56,122.55,122.56,122.59,122.57,122.57,122.58,122.59
2022-07-19,pm 12:22:20,122.62,122.64,122.62,122.63,122.64,122.65,122.36,122.65,122.63,122.62,122.61,122.62,122.64,122.63,122.62,122.64,122.65
2022-07-19,pm 12:22:30,122.67,122.68,122.67,122.67,122.67,122.69,122.16,122.7,122.67,122.66,122.66,122.66,122.68,122.67,122.67,122.68,122.69
2022-07-19,pm 12:22:40,122.65,122.66,122.65,122.66,122.67,122.66,122.21,122.67,122.65,122.65,122.64,122.65,122.65,122.66,122.64,122.67,122.67
2022-07-19,pm 12:22:50,122.69,122.71,122.69,122.7,122.71,122.7,122.5,122.73,122.68,122.69,122.68,122.69,122.7,122.7,122.7,122.71,122.71
2022-07-19,pm 12:23:00,122.66,122.67,122.66,122.67,122.65,122.68,122.41,122.69,122.66,122.65,122.65,122.64,122.68,122.67,122.66,122.67,122.69
2022-07-19,pm 12:23:10,122.68,122.68,122.67,122.69,122.69,122.69,122.88,122.7,122.67,122.68,122.67,122.67,122.68,122.69,122.68,122.7,122.7
2022-07-19,pm 12:23:20,122.7,122.72,122.7,122.71,122.74,122.7,122.54,122.73,122.69,122.71,122.69,122.71,122.7,122.71,122.7,122.73,122.71
2022-07-19,pm 12:23:30,122.7,122.71,122.7,122.71,122.71,122.7,122.69,122.71,122.7,122.7,122.7,122.7,122.7,122.71,122.7,122.72,122.71
2022-07-19,pm 12:23:40,122.73,122.75,122.73,122.74,122.73,122.76,122.7,122.76,122.73,122.73,122.72,122.72,122.75,122.74,122.74,122.74,122.76
2022-07-19,pm 12:23:50,122.71,122.72,122.7,122.71,122.74,122.7,122.73,122.73,122.69,122.71,122.7,122.71,122.7,122.72,122.7,122.73,122.71
2022-07-19,pm 12:24:00,122.72,122.73,122.71,122.72,122.75,122.72,122.75,122.74,122.71,122.72,122.71,122.72,122.72,122.72,122.72,122.74,122.73
2022-07-19,pm 12:24:10,122.71,122.72,122.71,122.73,122.71,122.73,122.7,122.73,122.72,122.71,122.71,122.7,122.73,122.73,122.71,122.72,122.73
