기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739	P86731	P86744	P86732	P86648
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1
Date	Time	1	2	3	4	5	6	7	8	9	10	11	12
2022-07-19	pm 2:23:20	122.49	122.49	122.49	122.5	122.52	122.5	122.75	122.5	122.5	122.49	122.49	122.49
2022-07-19	pm 2:23:30	122.51	122.53	122.5	122.53	122.49	122.52	122.16	122.55	122.52	122.5	122.5	122.49
2022-07-19	pm 2:23:40	122.5	122.49	122.49	122.5	122.54	122.49	122.09	122.5	122.5	122.5	122.5	122.5
2022-07-19	pm 2:23:50	122.51	122.51	122.51	122.52	122.56	122.51	122.52	122.52	122.51	122.52	122.51	122.52
2022-07-19	pm 2:24:00	122.55	122.56	122.54	122.55	122.58	122.55	122.1	122.57	122.55	122.55	122.54	122.55
2022-07-19	pm 2:24:10	122.56	122.57	122.55	122.56	122.56	122.56	122.45	122.57	122.56	122.56	122.55	122.55
2022-07-19	pm 2:24:20	122.54	122.57	122.54	122.56	122.52	122.56	122.34	122.57	122.56	122.54	122.54	122.52
2022-07-19	pm 2:24:30	122.54	122.56	122.54	122.56	122.55	122.55	122.32	122.57	122.55	122.54	122.54	122.53
2022-07-19	pm 2:24:40	122.54	122.57	122.54	122.56	122.53	122.56	122.77	122.58	122.55	122.54	122.54	122.52
2022-07-19	pm 2:24:50	122.48	122.48	122.48	122.49	122.53	122.46	122.89	122.48	122.47	122.49	122.49	122.49
2022-07-19	pm 2:25:00	122.47	122.49	122.47	122.51	122.45	122.51	122.68	122.51	122.51	122.47	122.48	122.45
2022-07-19	pm 2:25:10	122.48	122.51	122.49	122.51	122.48	122.51	122.28	122.53	122.5	122.48	122.48	122.48
2022-07-19	pm 2:25:20	122.48	122.47	122.47	122.47	122.54	122.45	122.32	122.48	122.46	122.49	122.48	122.49
2022-07-19	pm 2:25:30	122.5	122.51	122.5	122.51	122.52	122.5	122.89	122.52	122.5	122.51	122.5	122.5
2022-07-19	pm 2:25:40	122.52	122.53	122.51	122.52	122.54	122.5	122.39	122.54	122.5	122.52	122.51	122.51
2022-07-19	pm 2:25:50	122.58	122.6	122.57	122.58	122.6	122.57	122.89	122.61	122.56	122.58	122.57	122.58
2022-07-19	pm 2:26:00	122.6	122.62	122.6	122.61	122.61	122.6	126.4	122.63	122.6	122.6	122.59	122.59
2022-07-19	pm 2:26:10	122.59	122.6	122.58	122.59	122.61	122.57	122.09	122.61	122.57	122.59	122.58	122.58
2022-07-19	pm 2:26:20	122.59	122.61	122.59	122.6	122.62	122.58	122.09	122.62	122.59	122.6	122.59	122.59
2022-07-19	pm 2:26:30	122.62	122.64	122.62	122.64	122.64	122.65	122.52	122.66	122.64	122.63	122.62	122.61
2022-07-19	pm 2:26:40	122.64	122.66	122.64	122.65	122.66	122.64	122	122.67	122.64	122.64	122.63	122.63
2022-07-19	pm 2:26:50	122.64	122.68	122.64	122.67	122.62	122.67	122.64	122.69	122.67	122.64	122.64	122.62
2022-07-19	pm 2:27:00	122.66	122.69	122.66	122.68	122.67	122.67	122.35	122.7	122.67	122.66	122.66	122.66
