기기 이름:		HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140	HiTemp140				
기기 설명		온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거	온도 데이터 로거				
일련 번호:		P86635	P86737	P86733	P86729	P86746	P86735	P86738	P86739				
기기 ID:		MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel	MultiChannel				
													
		채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1	채널 1				
Date	Time	1	2	3	4	5	6	7	8				
2022-07-19	pm 3:18:00	122.85	122.86	122.84	122.86	122.83	122.85	122.62	122.87				
2022-07-19	pm 3:18:10	122.77	122.77	122.77	122.8	122.76	122.79	122.64	122.78				
2022-07-19	pm 3:18:20	122.73	122.72	122.72	122.75	122.71	122.73	122.63	122.74				
2022-07-19	pm 3:18:30	122.74	122.76	122.74	122.75	122.74	122.74	122.61	122.77				
2022-07-19	pm 3:18:40	122.74	122.73	122.73	122.75	122.76	122.74	122.62	122.74				
2022-07-19	pm 3:18:50	122.76	122.75	122.75	122.75	122.81	122.74	122.64	122.75				
2022-07-19	pm 3:19:00	122.74	122.73	122.74	122.75	122.77	122.75	122.65	122.74				
2022-07-19	pm 3:19:10	122.75	122.74	122.74	122.75	122.77	122.75	122.66	122.75				
2022-07-19	pm 3:19:20	122.75	122.75	122.74	122.76	122.74	122.74	122.66	122.76				
2022-07-19	pm 3:19:30	122.74	122.76	122.74	122.76	122.75	122.76	122.69	122.77				
2022-07-19	pm 3:19:40	122.74	122.74	122.74	122.75	122.73	122.73	122.74	122.75				
2022-07-19	pm 3:19:50	122.7	122.71	122.69	122.73	122.67	122.73	122.77	122.73				
2022-07-19	pm 3:20:00	122.65	122.64	122.13	122.67	122.67	122.65	122.73	122.66				
2022-07-19	pm 3:20:10	122.64	122.65	122.64	122.67	122.61	122.67	122.76	122.67				
2022-07-19	pm 3:20:20	122.61	122.63	122.3	122.64	122.59	122.64	122.78	122.65				
2022-07-19	pm 3:20:30	122.62	122.64	122.62	122.64	122.61	122.63	122.75	122.66				
2022-07-19	pm 3:20:40	122.64	122.65	122.64	122.64	122.66	122.63	122.75	122.66				
2022-07-19	pm 3:20:50	122.62	122.61	122.61	122.62	122.63	122.62	122.74	122.62				
2022-07-19	pm 3:21:00	122.61	122.59	122.61	122.61	122.66	122.6	122.81	122.6				
2022-07-19	pm 3:21:10	122.59	122.59	122.59	122.62	122.6	122.61	122.83	122.62				
2022-07-19	pm 3:21:20	122.61	122.61	122.63	122.62	122.64	122.61	122.79	122.62				
2022-07-19	pm 3:21:30	122.6	122.61	122.6	122.62	122.62	122.62	122.81	122.62				
2022-07-19	pm 3:21:40	122.59	122.6	122.62	122.62	122.59	122.61	122.82	122.61				
2022-07-19	pm 3:21:50	122.59	122.6	122.22	122.61	122.61	122.61	122.84	122.61				
2022-07-19	pm 3:22:00	122.6	122.61	122.3	122.61	122.6	122.6	122.85	122.62				
2022-07-19	pm 3:22:10	122.59	122.57	122.58	122.59	122.62	122.58	122.86	122.58				
2022-07-19	pm 3:22:20	122.62	122.63	122.62	122.62	122.62	122.61	122.85	122.64				
2022-07-19	pm 3:22:30	122.59	122.6	122.58	122.61	122.58	122.61	122.83	122.62				
2022-07-19	pm 3:22:40	122.59	122.6	122.59	122.61	122.6	122.6	122.87	122.62				
2022-07-19	pm 3:22:50	122.61	122.61	122.6	122.62	122.63	122.62	122.91	122.63				
2022-07-19	pm 3:23:00	122.6	122.61	122.6	122.62	122.58	122.61	122.89	122.62				
2022-07-19	pm 3:23:10	122.55	122.56	122.12	122.58	122.52	122.58	122.91	122.58				
2022-07-19	pm 3:23:20	122.51	122.52	122.21	122.53	122.5	122.52	122.9	122.54				
2022-07-19	pm 3:23:30	122.5	122.51	121.03	122.52	122.48	122.52	122.85	122.53				
2022-07-19	pm 3:23:40	122.52	122.53	122.51	122.54	122.5	122.53	122.83	122.55				
2022-07-19	pm 3:23:50	122.52	122.53	122.73	122.53	122.52	122.51	122.83	122.54				
2022-07-19	pm 3:24:00	122.48	122.48	122.49	122.5	122.5	122.49	122.82	122.49				
2022-07-19	pm 3:24:10	122.48	122.49	122.48	122.5	122.5	122.5	122.84	122.5				
2022-07-19	pm 3:24:20	122.51	122.53	122.51	122.54	122.49	122.54	122.85	122.55				
2022-07-19	pm 3:24:30	122.5	122.52	122.5	122.52	122.48	122.52	122.85	122.53				
2022-07-19	pm 3:24:40	122.48	122.5	122.48	122.51	122.47	122.5	122.86	122.52				
2022-07-19	pm 3:24:50	122.52	122.54	122.51	122.53	122.51	122.53	122.85	122.55				
2022-07-19	pm 3:25:00	122.47	122.49	122.47	122.5	122.45	122.5	122.85	122.51				
2022-07-19	pm 3:25:10	122.47	122.5	122.47	122.5	122.45	122.51	122.83	122.51				
2022-07-19	pm 3:25:20	122.48	122.5	122.48	122.51	122.46	122.51	122.84	122.52				
2022-07-19	pm 3:25:30	122.48	122.49	122.47	122.48	122.48	122.46	122.83	122.49				
2022-07-19	pm 3:25:40	122.5	122.51	122.5	122.5	122.51	122.49	122.8	122.52				
2022-07-19	pm 3:25:50	122.47	122.49	122.47	122.5	122.45	122.49	122.81	122.5				
2022-07-19	pm 3:26:00	122.48	122.5	122.48	122.51	122.48	122.5	122.85	122.52				
2022-07-19	pm 3:26:10	122.49	122.51	122.49	122.52	122.46	122.53	122.86	122.53				
2022-07-19	pm 3:26:20	122.51	122.52	122.5	122.51	122.51	122.51	122.87	122.53				
2022-07-19	pm 3:26:30	122.48	122.48	122.48	122.49	122.48	122.48	122.87	122.49				
2022-07-19	pm 3:26:40	122.5	122.53	122.5	122.52	122.49	122.51	122.88	122.54				
2022-07-19	pm 3:26:50	122.53	122.56	122.53	122.55	122.52	122.55	122.9	122.57				
2022-07-19	pm 3:27:00	122.51	122.51	122.51	122.51	122.51	122.49	122.87	122.51				
2022-07-19	pm 3:27:10	122.51	122.5	122.5	122.5	122.52	122.49	122.88	122.5				
2022-07-19	pm 3:27:20	122.49	122.49	122.48	122.49	122.5	122.47	122.89	122.49				
2022-07-19	pm 3:27:30	122.5	122.48	122.49	122.49	122.53	122.48	122.86	122.49				
2022-07-19	pm 3:27:40	122.49	122.48	122.48	122.49	122.5	122.49	122.89	122.49				
2022-07-19	pm 3:27:50	122.49	122.46	122.48	122.48	122.53	122.47	122.9	122.47				
2022-07-19	pm 3:28:00	122.46	122.48	122.47	122.49	122.45	122.49	122.89	122.49				
2022-07-19	pm 3:28:10	122.48	122.5	122.47	122.51	122.48	122.51	122.92	122.52				
2022-07-19	pm 3:28:20	122.49	122.47	122.48	122.48	122.53	122.47	122.9	122.48				
2022-07-19	pm 3:28:30	122.46	122.48	122.46	122.49	122.45	122.49	122.92	122.49				
2022-07-19	pm 3:28:40	122.48	122.49	122.47	122.49	122.47	122.48	122.91	122.51				
2022-07-19	pm 3:28:50	122.47	122.46	122.46	122.47	122.47	122.46	122.94	122.47				
2022-07-19	pm 3:29:00	122.47	122.48	122.46	122.48	122.45	122.47	122.95	122.5				
2022-07-19	pm 3:29:10	122.48	122.49	122.47	122.49	122.48	122.49	122.88	122.5				
2022-07-19	pm 3:29:20	122.51	122.52	122.5	122.52	122.54	122.52	122.82	122.53				
2022-07-19	pm 3:29:30	122.56	122.56	122.55	122.56	122.6	122.57	122.87	122.58				
2022-07-19	pm 3:29:40	122.57	122.59	122.57	122.6	122.58	122.6	122.88	122.61				
2022-07-19	pm 3:29:50	122.65	122.66	122.63	122.64	122.67	122.66	122.9	122.67				
2022-07-19	pm 3:30:00	122.69	122.68	122.68	122.68	122.7	122.68	122.89	122.69				
2022-07-19	pm 3:30:10	122.71	122.69	122.7	122.69	122.77	122.67	122.96	122.69				
2022-07-19	pm 3:30:20	122.75	122.75	122.74	122.74	122.78	122.74	122.91	122.76				
2022-07-19	pm 3:30:30	122.45	122.74	122.58	122.75	121.56	122.73	122.91	122.75				
2022-07-19	pm 3:30:40	115.79	118.69	116.11	118.55	111.56	118.42	117.07	117.04				
2022-07-19	pm 3:30:50	110.59	114.25	106.59	109.36	107.98	108.89	112.78	107.96				
2022-07-19	pm 3:31:00	105.95	109.07	97.62	101.46	103.66	99.67	108.5	99.93				
2022-07-19	pm 3:31:10	100.07	103.45	89.35	96.41	98.86	92.01	102.65	93.89				
2022-07-19	pm 3:31:20	94.35	98.69	81.1	92.45	94.81	85.84	97.93	90.48				
2022-07-19	pm 3:31:30	89.92	94.54	73.19	88.8	91.14	81.23	93.19	86.2				
2022-07-19	pm 3:31:40	85.41	91.01	71.35	85.96	90.11	80.25	90.46	81.77				
2022-07-19	pm 3:31:50	85.92	91.18	72.35	86.11	92.4	81.89	88.59	80.82				
2022-07-19	pm 3:32:00	87.46	91.76	73.96	87.16	93.04	84.59	90.24	82.58				
2022-07-19	pm 3:32:10	88.95	91.91	75.8	88.27	92.79	86.75	90.42	84.11				
2022-07-19	pm 3:32:20	90.08	91.99	78.05	89.02	92.37	88.03	94.3	84.93				
2022-07-19	pm 3:32:30	90.66	92.05	79.73	89.44	91.83	89.09	88.14	85.92				
2022-07-19	pm 3:32:40	90.78	91.88	80.41	89.67	91.24	89.69	83.33	86.7				
2022-07-19	pm 3:32:50	90.78	91.57	80.75	89.95	91.07	90.21	97.32	87.29				
2022-07-19	pm 3:33:00	90.89	91.4	81.03	90.24	91.11	90.72	92.61	87.78				
2022-07-19	pm 3:33:10	91.04	91.47	81.46	90.64	91.16	91.26	91.02	88.66				
2022-07-19	pm 3:33:20	91.32	91.61	81.97	91.11	91.27	91.79	90.91	89.44				
2022-07-19	pm 3:33:30	91.62	91.72	83.13	91.55	91.35	92.3	89.87	90.09				
2022-07-19	pm 3:33:40	91.89	91.91	84.6	91.98	91.52	92.76	86.66	90.68				
2022-07-19	pm 3:33:50	92.22	92.09	86.12	92.36	91.79	93.12	84.52	91.18				
2022-07-19	pm 3:34:00	92.51	92.3	87.53	92.66	92.01	93.44	91.15	91.55				
2022-07-19	pm 3:34:10	92.81	92.52	88.79	92.97	92.32	93.71	88.19	91.85				
2022-07-19	pm 3:34:20	93.06	92.73	89.9	93.24	92.57	93.92	95.84	92.15				
2022-07-19	pm 3:34:30	93.28	92.96	90.79	93.51	92.73	94.15	93.14	92.34				
2022-07-19	pm 3:34:40	93.47	93.19	91.53	93.77	92.9	94.37	88.97	92.56				
2022-07-19	pm 3:34:50	93.64	93.36	92.13	93.95	93.06	94.57	95.96	92.82				
2022-07-19	pm 3:35:00	93.8	93.52	92.6	94.15	93.25	94.74	97.32	92.98				
2022-07-19	pm 3:35:10	93.95	93.69	93.02	94.35	93.55	94.87	98.03	93.08				
2022-07-19	pm 3:35:20	94.11	93.9	93.38	94.55	93.75	95.01	96.89	93.26				
2022-07-19	pm 3:35:30	94.28	94.09	93.71	94.67	93.95	95.13	93.87	93.41				
2022-07-19	pm 3:35:40	94.44	94.19	93.98	94.84	94.07	95.23	94.7	93.57				
2022-07-19	pm 3:35:50	94.59	94.32	94.17	94.96	94.22	95.34	96.64	93.66				
2022-07-19	pm 3:36:00	94.69	94.47	94.35	95.06	94.46	95.44	97.25	93.77				
2022-07-19	pm 3:36:10	94.75	94.62	94.52	95.13	94.64	95.55	100.41	93.85				
2022-07-19	pm 3:36:20	94.85	94.75	94.63	95.24	94.69	95.63	95.79	93.96				
2022-07-19	pm 3:36:30	94.94	94.85	94.76	95.32	94.79	95.75	97.49	94.06				
2022-07-19	pm 3:36:40	95.05	94.98	94.9	95.41	94.83	95.84	99.36	94.19				
2022-07-19	pm 3:36:50	95.08	95.07	95.05	95.53	94.97	95.92	94.8	94.25				
2022-07-19	pm 3:37:00	95.14	95.13	95.19	95.63	95.14	95.94	91.91	94.35				
