	광역시도	시도	20-39세여자	20-39세합계	65세이상합계	인구수남자	인구수여자	인구수합계	소멸비율	소멸위기지역	ID	x	y	여성비	2030여성비
51	경기도	일산동구	42571	83700	29216	142947	149665	292612	2.914225082	0	고양 일산동	4	2	1.147936517	0.861409797
52	경기도	일산서구	40893	80350	30464	146480	154359	300839	2.684676996	0	고양 일산서	3	3	1.309504419	0.893590541
53	경기도	장안구	41481	87219	30116	148987	147492	296479	2.754748307	0	수원 장안	6	10	-0.252125783	-2.440408627
54	경기도	중원구	34005	71507	28803	120529	117380	237909	2.361212374	0	성남 중원	7	7	-0.661807666	-2.445215154
55	경기도	처인구	29243	62054	27748	115841	110289	226130	2.107755514	0	용인 처인	9	9	-1.227612435	-2.874915396
56	경기도	파주시	57352	120511	51980	218565	212216	430781	2.206694883	0	파주	2	3	-0.736917366	-2.40932363
57	경기도	팔달구	29276	61449	23810	99947	98568	198515	2.459134817	0	수원 팔달	6	11	-0.347328917	-2.357239337
58	경기도	평택시	62672	134045	53090	240345	230487	470832	2.360971934	0	평택	4	11	-1.046870221	-3.245551867
59	경기도	포천시	16384	36354	24292	81291	73472	154763	1.348921456	0	포천	6	1	-2.526120584	-4.932056995
60	경기도	하남시	30193	61832	23306	106472	104629	211101	2.591006608	0	하남	9	3	-0.436520907	-1.169297451
61	경기도	화성시	93228	193529	52875	330923	309967	640890	3.52635461	0	화성	3	9	-1.634913948	-1.827374709
62	경상남도	거제시	34744	77489	20932	135738	121445	257183	3.319701892	0	거제	8	22	-2.778760649	-5.16266825
63	경상남도	거창군	5609	12133	15591	30746	32562	63308	0.71951767	1	거창	6	16	1.434257914	-3.770707986
64	경상남도	고성군	4486	10345	14462	27452	27251	54703	0.620384456	1	고성(경남)	7	22	-0.183719357	-6.636056066
65	경상남도	김해시	68849	143089	47975	267513	261909	529422	2.870203231	0	김해	9	20	-0.529256434	-1.883792605
66	경상남도	남해군	2932	6647	15692	21566	23563	45129	0.373693602	1	남해	6	22	2.212546256	-5.889875132
67	경상남도	마산합포구	21300	46336	30525	90716	91081	181797	1.395577396	0	창원 합포	8	19	0.100386695	-4.031422652
68	경상남도	마산회원구	25803	55452	26727	106469	104322	210791	1.930856437	0	창원 회원	7	21	-0.509272218	-3.467864099
69	경상남도	밀양시	9647	21371	25611	52992	55362	108354	0.753348171	1	밀양	8	17	1.093637521	-4.859388891
70	경상남도	사천시	11922	26503	21502	57698	57214	114912	1.1089201	0	사천	6	21	-0.210595934	-5.016413236
71	경상남도	산청군	2461	5561	11638	17666	18432	36098	0.422924901	1	산청	5	19	1.061000609	-5.745369538
72	경상남도	성산구	32213	69577	13543	118468	113103	231571	4.757143912	0	창원 성산	7	20	-1.158392027	-3.701654282
73	경상남도	양산시	42205	87851	35131	159503	157534	317037	2.402721243	0	양산	7	19	-0.310531578	-1.958429614
74	경상남도	의령군	2069	4507	9450	13562	14549	28111	0.437883598	1	의령	7	18	1.755540536	-4.093632128
75	경상남도	의창구	33514	72756	24846	128719	123716	252435	2.697738066	0	창원 의창	6	20	-0.990948165	-3.936445104
76	경상남도	진주시	42443	89705	49318	171855	174884	346739	1.721197129	0	진주	6	18	0.436783863	-2.68602642
77	경상남도	진해구	24315	52170	21567	95701	91612	187313	2.254833774	0	창원 진해	8	20	-1.091488578	-3.392754457
78	경상남도	창녕군	5291	12172	17149	31735	32247	63982	0.617062219	1	창녕	7	17	0.400112532	-6.531383503
79	경상남도	통영시	15478	33197	20895	69769	68391	138160	1.481502752	0	통영	8	21	-0.498697163	-3.375304997
80	경상남도	하동군	3779	8574	14514	24463	25159	49622	0.520738597	1	하동	5	20	0.701301842	-5.9248892
81	경상남도	함안군	6747	14482	13964	34819	34118	68937	0.966342022	1	함안	6	19	-0.508435238	-3.411131059
82	경상남도	함양군	3022	6520	12274	19244	20997	40241	0.492423008	1	함양	6	17	2.178126786	-3.650306748
83	경상남도	합천군	3180	7178	16972	22825	25201	48026	0.374734857	1	합천	7	16	2.473660101	-5.697966007
84	경상북도	경산시	33298	71899	36375	130060	127977	258037	1.830817869	0	경산	11	12	-0.403624286	-3.68781207
85	경상북도	경주시	26564	58774	48789	129944	129508	259452	1.088933981	0	경주	12	12	-0.084023249	-4.803144247
86	경상북도	고령군	2789	6241	8889	17485	16772	34257	0.627517156	1	고령	9	13	-1.040663222	-5.311648774
87	경상북도	구미시	63332	134262	31554	214600	205291	419891	4.014197883	0	구미	10	10	-1.108501968	-2.829542238
88	경상북도	군위군	1566	3578	8670	12156	12015	24171	0.361245675	1	군위	10	11	-0.291671838	-6.232532141
89	경상북도	김천시	15254	33261	28488	71201	71055	142256	1.070907049	0	김천	9	11	-0.051315937	-4.138480503
90	경상북도	남구	28472	63040	31515	125811	118937	244748	1.80688561	0	포항 남구	12	11	-1.404301567	-4.835025381
91	경상북도	문경시	6467	14007	19285	36537	38165	74702	0.670676692	1	문경	10	8	1.089662927	-3.830227743
92	경상북도	봉화군	2271	5122	10706	16667	16872	33539	0.424248085	1	봉화	11	8	0.305614359	-5.66185084
93	경상북도	북구	31791	67836	36781	135294	136733	272027	1.728664256	0	포항 북구	12	10	0.264495804	-3.135503273
94	경상북도	상주시	8158	18194	27769	49824	51975	101799	0.587561669	1	상주	8	11	1.056493679	-5.161042102
95	경상북도	성주군	3660	8345	12398	23166	22039	45205	0.590417809	1	성주	11	13	-1.246543524	-6.141402037
96	경상북도	안동시	17781	37608	34672	83341	85457	168798	1.025669128	0	안동	10	9	0.626784678	-2.720165922
97	경상북도	영덕군	2758	6114	12897	18607	20445	39052	0.427696363	1	영덕	11	7	2.35327256	-4.89041544
98	경상북도	영양군	1192	2654	5878	8724	8989	17713	0.405580129	1	영양	11	9	0.748038164	-5.086661643
99	경상북도	영주시	9630	21466	24577	54245	55002	109247	0.783659519	1	영주	9	10	0.346462603	-5.138358334
100	경상북도	영천시	8980	20301	25063	50644	49877	100521	0.716594183	1	영천	10	12	-0.381512321	-5.765725826
101	경상북도	예천군	3494	7700	15043	22663	23503	46166	0.464535	1	예천	8	10	0.90976043	-4.623376623
102	경상북도	울릉군	863	2115	2154	5430	4571	10001	0.801299907	1	울릉	13	8	-4.294570543	-9.196217494
103	경상북도	울진군	4498	10189	12665	25847	25891	51738	0.710303987	1	울진	11	6	0.042521937	-5.854352733
104	경상북도	의성군	3326	7716	19896	26334	27680	54014	0.334338561	1	의성	11	11	1.245973266	-6.894764126
105	경상북도	청도군	3037	6860	14274	21278	22286	43564	0.425528934	1	청도	10	13	1.156918557	-5.728862974
106	경상북도	청송군	1756	4164	8600	13008	13293	26301	0.408372093	1	청송	11	10	0.541804494	-7.829010567
107	경상북도	칠곡군	16831	36450	15479	64002	59197	123199	2.174688287	0	칠곡	9	12	-1.950096998	-3.82441701
108	광주광역시	광산구	57338	116495	32067	202480	200569	403049	3.576137462	0	광주 광산	2	21	-0.23706795	-0.780720203
109	광주광역시	남구	28859	58607	32184	106288	113441	219729	1.79337559	0	광주 남구	2	23	1.627686832	-0.758441824
110	광주광역시	동구	12008	25478	19413	47823	47968	95791	1.237109154	0	광주 동구	3	23	0.075685607	-2.869142005
111	광주광역시	북구	60644	126306	53694	219300	221766	441066	2.258874362	0	광주 북구	3	22	0.279549999	-1.986445616
112	광주광역시	서구	43352	87911	35214	152246	157333	309579	2.462202533	0	광주 서구	2	22	0.821599656	-0.686489745
113	대구광역시	남구	19722	41610	29974	76147	80286	156433	1.315940482	0	대구 남구	9	15	1.322930584	-2.602739726
